FY,SIC,EMPLOYEES,PRODUCTS,PRODHOURS,E2_plant_cost,E2_plant_usage,E2 in joule,kWh,KW,MW,Category,H2_required,el_size_approx,NG_usd_per_mmbtu,NG_usd_per_kwh
2024,4952,20,Wastewater Treatment,8760,15201,1370,1.45E+12,401507.3661,45.83417422,0.045834174,Chemicals_Dryer,12046.42563,0.059602307,0.09012565,0.037859828
2024,4952,20,Wastewater Treatment,8760,15201,1370,1.45E+12,401507.3661,45.83417422,0.045834174,Chemicals_Dryer,12046.42563,0.059602307,0.09012565,0.037859828
2024,4952,20,Wastewater Treatment,8760,15201,1370,1.45E+12,401507.3661,45.83417422,0.045834174,Chemicals_Dryer,12046.42563,0.059602307,0.09012565,0.037859828
1991,3493,36,COMPRESSION SPRINGS,3000,6070,1368,1.44E+12,400921.224,133.640408,0.133640408,Chemicals_Dryer,12028.8396,0.173784666,0.225370675,0.015140131
1999,3621,125,Metal castings for electric motors,3600,6573,1333,1.41E+12,390663.7365,108.5177046,0.108517705,Metal_Oven,11721.0842,0.141115351,0.202799331,0.016825212
2022,3089,90,Injection Molding / Glass,4160,9380,1329,1.4E+12,389491.4523,93.62775295,0.093627753,Glass_Furnace,11685.91216,0.121752605,0.141684435,0.024082685
2012,3398,10,Vacuum Impregnation,4500,10820,1279,1.35E+12,374837.8988,83.29731083,0.083297311,Chemicals_Dryer,11246.26159,0.108319,0.118207024,0.028865811
2012,3714,150,Automotive Transmission Components,5000,11708,1272,1.34E+12,372786.4013,74.55728025,0.07455728,Metal_Oven,11184.71051,0.09695355,0.108643662,0.031406725
1993,3599,38,aircraft flight control hardwar,6000,4725,1261,1.33E+12,369562.6195,61.59376991,0.06159377,Metal_Oven,11087.98738,0.08009593,0.266878307,0.012785384
2002,2541,50,Pont of purchase display cabinetry,2500,8641,1256,1.33E+12,368097.2641,147.2389057,0.147238906,Metal_Oven,11044.02233,0.191468018,0.145353547,0.023474774
2016,3829,62,Metrology Machines,2000,8114,1229,1.3E+12,360184.3452,180.0921726,0.180092173,Chemicals_Dryer,10806.61102,0.234190082,0.151466601,0.022527353
2003,3544,90,Machined parts and systems,5000,9860,1220,1.29E+12,357546.7056,71.50934112,0.071509341,Chemicals_Dryer,10727.47392,0.09299004,0.123732252,0.027576817
1992,2221,172,AUTOMOTIVE CARPETS,4000,5606,1204,1.27E+12,352857.5685,88.21439212,0.088214392,FD_Boiler,10586.78573,0.114713124,0.214769889,0.01588743
2017,3714,141,"Powertrain, Balance Shaft Components",8400,7513,1188,1.25E+12,348168.4314,41.44862278,0.041448623,Metal_Oven,10446.09755,0.05389938,0.158125915,0.021578636
1985,3471,16,INDUSTRIAL COATING,2250,5778,1051,1.11E+12,308017.6948,136.8967532,0.136896753,Metal_Oven,9241.454989,0.178019185,0.18189685,0.018758663
2016,3089,110,Electrical Boxes and Enclosures,6000,8034,1038,1.1E+12,304207.7708,50.70129514,0.050701295,Metal_Oven,9127.145839,0.065931463,0.129200896,0.026409582
1982,3599,40,CUSTOM METAL FABRICATION,2325,3561,1029,1.09E+12,301570.1312,129.7075833,0.129707583,Metal_Oven,9048.008737,0.168670459,0.288963774,0.011808199
1982,3599,40,CUSTOM METAL FABRICATION,2325,3561,1029,1.09E+12,301570.1312,129.7075833,0.129707583,Metal_Oven,9048.008737,0.168670459,0.288963774,0.011808199
2015,3296,170,Acoustic and Thermal Insulation,5500,7928,1002,1.06E+12,293657.2123,53.39222042,0.05339222,Chemicals_Dryer,8810.597429,0.069430715,0.126387487,0.026997464
2023,3444,120,Metal Fabrication,6864,9205,986,1.04E+12,288968.0752,42.09907855,0.042099079,Metal_Oven,8669.909247,0.054745226,0.107115698,0.03185473
2023,3444,120,Metal Fabrication,6864,9205,986,1.04E+12,288968.0752,42.09907855,0.042099079,Metal_Oven,8669.909247,0.054745226,0.107115698,0.03185473
2023,3444,120,Metal Fabrication,6864,9205,986,1.04E+12,288968.0752,42.09907855,0.042099079,Metal_Oven,8669.909247,0.054745226,0.107115698,0.03185473
1986,3599,65,PRECISION MACHINING,6000,5723,979,1.03E+12,286916.5777,47.81942962,0.04781943,Chemicals_Dryer,8608.358167,0.062183914,0.171064127,0.019946564
