FY,SIC,EMPLOYEES,PRODUCTS,PRODHOURS,E2_plant_cost,E2_plant_usage,E2 in joule,kWh,KW,MW
1984.0,2079.0,168.0,"MARGARINE, SHORTENING",2600.0,279115.0,48317.0,51000000000000.0,14160314.9,5446.274961,5.446274961
2009.0,3462.0,148.0,Warm/cold forgings with machining,6000.0,519579.0,48281.0,50900000000000.0,14149764.34,2358.294056,2.358294056
2012.0,3331.0,296.0,Lawn Care Equipment,5880.0,331567.0,47976.0,50600000000000.0,14060377.66,2391.220691,2.391220691
1995.0,2653.0,91.0,corrugated shipping containers,6500.0,150000.0,47865.0,50500000000000.0,14027846.77,2158.130273,2.158130273
1994.0,3412.0,100.0,reconditioned steel drums,4500.0,121805.0,47725.0,50400000000000.0,13986816.82,3108.181516,3.108181516
1995.0,3297.0,150.0,"non-clay brick, special shaped refractories",6000.0,190040.0,47510.0,50100000000000.0,13923806.54,2320.634424,2.320634424
2020.0,3691.0,475.0,"Batteries for automotive, industrial, farm use, etc.",7200.0,233831.0,47465.0,50100000000000.0,13910618.35,1932.030326,1.932030326
1993.0,2952.0,45.0,asphalt and roofing products,4000.0,130400.0,47418.0,50000000000000.0,13896844.01,3474.211001,3.474211001
2013.0,2621.0,220.0,Corrugate Clamshells,7200.0,253843.0,47323.0,49900000000000.0,13869002.25,1926.250313,1.926250313
2001.0,3562.0,419.0,Ball Bearings,6174.0,177844.0,47186.0,49800000000000.0,13828851.52,2239.852853,2.239852853
1988.0,2435.0,100.0,ACOUSTICAL PANELS & DECK,1600.0,128125.0,47005.0,49600000000000.0,13775805.65,8609.878533,8.609878533
1982.0,3363.0,100.0,DIE CASTINGS,4375.0,210857.0,46790.0,49400000000000.0,13712795.37,3134.353228,3.134353228
2020.0,3555.0,299.0,Inkjet Printing Systems and Consumables,6240.0,191113.0,46463.0,49000000000000.0,13616961.13,2182.20531,2.18220531
1990.0,2653.0,127.0,CORRUGATED CONTAINERS,6900.0,189350.0,46256.0,48800000000000.0,13556295.42,1964.680496,1.964680496
2010.0,3321.0,300.0,gray and ductile castings,2640.0,453649.0,46221.0,48800000000000.0,13546037.93,5131.074975,5.131074975
